,Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
426,2021-09-21,6.557689999999999,6.557689999999999,6.557689999999999,6.557689999999999,972.4
428,2021-09-23,6.673080000000001,6.826919999999999,6.673080000000001,6.807689999999999,4843.28
429,2021-09-24,6.807689999999999,6.923080000000001,6.63462,6.88462,1836.64
430,2021-09-27,6.88462,6.88462,6.88462,6.88462,105.04
431,2021-09-28,6.73077,6.88462,6.73077,6.826919999999999,855.92
433,2021-09-30,6.63462,6.826919999999999,6.63462,6.826919999999999,4581.2
434,2021-10-01,6.65385,6.826919999999999,6.557689999999999,6.826919999999999,1225.12
435,2021-10-04,6.807689999999999,6.807689999999999,6.807689999999999,6.807689999999999,10.4
436,2021-10-05,6.61538,6.788460000000001,6.61538,6.788460000000001,304.72
437,2021-10-06,6.788460000000001,6.788460000000001,6.63462,6.788460000000001,448.24
438,2021-10-07,6.673080000000001,6.788460000000001,6.557689999999999,6.788460000000001,8364.72
439,2021-10-08,6.75,6.826919999999999,6.75,6.826919999999999,4628.0
440,2021-10-11,6.807689999999999,6.826919999999999,6.576919999999999,6.826919999999999,845.52
441,2021-10-12,6.826919999999999,6.826919999999999,6.73077,6.826919999999999,388.96
442,2021-10-13,6.63462,6.826919999999999,6.63462,6.807689999999999,1457.04
443,2021-10-14,6.73077,6.73077,6.73077,6.73077,146.64
444,2021-10-15,6.807689999999999,6.807689999999999,6.73077,6.73077,272.48
445,2021-10-18,6.73077,6.75,6.65385,6.73077,1074.32
446,2021-10-19,6.75,6.75,6.65385,6.75,952.64
447,2021-10-20,6.65385,6.75,6.65385,6.75,704.08
448,2021-10-21,6.63462,6.75,6.557689999999999,6.75,2188.16
449,2021-10-22,6.75,6.75,6.61538,6.73077,1650.48
450,2021-10-25,6.73077,6.73077,6.73077,6.73077,451.36
451,2021-10-26,6.73077,6.76923,6.59615,6.76923,2977.52
452,2021-10-27,6.557689999999999,6.673080000000001,6.557689999999999,6.673080000000001,2147.6
453,2021-10-28,6.73077,6.73077,6.65385,6.711539999999999,852.8
454,2021-10-29,6.711539999999999,6.711539999999999,6.673080000000001,6.711539999999999,1842.88
455,2021-11-02,6.711539999999999,6.73077,6.711539999999999,6.73077,516.88
456,2021-11-03,6.73077,6.73077,6.65385,6.65385,592.8
457,2021-11-04,6.576919999999999,6.65385,6.46154,6.65385,6182.8
458,2021-11-05,6.65385,6.65385,6.59615,6.65385,2891.2
459,2021-11-08,6.65385,6.65385,6.65385,6.65385,520.0
461,2021-11-12,6.65385,6.65385,6.557689999999999,6.65385,353.6
